Time, Angle (rad)
434,-1.997948
435,-1.989021
436,-1.986927
437,-2.111189
438,-2.267320
439,-1.743502
440,-1.556713
441,-1.677563
442,-1.697315
443,-0.714091
444,-0.014524
445,0.785398
446,1.043838
447,0.530797
448,-0.239743
449,-0.589946
450,-0.442563
451,-0.600351
452,-1.368903
453,-1.945652
454,-2.741688
455,-2.356194
456,-2.657115
457,-2.211153
458,-2.163627
459,-1.570796
460,2.921498
461,-1.735945
462,2.462930
463,2.236551
464,2.696292
465,2.782735
466,2.676426
467,-2.922924
468,-2.454068
469,-2.549920
470,-2.526930
471,-1.918823
472,-2.774419
473,0.961593
474,0.463648
475,1.146357
476,1.012746
477,0.797046
478,0.067017
479,1.208157
480,0.999079
481,1.192980
482,1.736565
483,1.474296
484,0.736198
485,1.046001
486,0.036336
487,0.622671
488,0.050260
489,0.114472
490,-0.363979
491,0.216563
492,-0.785398
493,-0.927295
494,0.068298
495,1.570796
496,-0.315970
497,-0.454232
498,0.110657
499,0.152649
500,0.807348
501,0.987248
502,1.162195
503,1.651425
504,1.616208
505,0.844608
506,0.872894
507,1.056084
508,0.767976
509,0.454086
510,0.384385
511,0.375553
512,0.167714
513,0.310713
514,0.928361
515,1.065005
516,0.956133
517,0.912410
518,1.319603
519,1.449769
520,1.831399
521,2.148698
522,1.650626
523,-1.474323
524,-1.518807
525,-1.301629
526,-1.514346
527,-2.502207
528,-2.635999
529,-2.512796
530,-2.356194
531,-2.597379
532,-0.915101
533,-0.535933
534,-0.114493
535,-0.503321
536,-0.863064
537,-0.751589
538,-0.597177
539,-1.292361
540,-0.572666
541,0.927295
542,1.040665
543,1.455536
544,1.428899
545,2.190371
546,2.089942
547,1.903611
548,1.301629
549,0.185348
550,0.728317
551,0.720273
552,0.796276
553,0.746232
554,0.696222
555,0.239344
556,-0.033321
557,-1.330666
558,-1.242243
559,0.251690
560,3.141593
561,-0.026769
562,0.342156
563,0.000000
564,-1.487655
565,-0.577712
566,-0.983820
567,-0.815692
568,-0.109113
569,0.127517
570,0.953254
571,1.002272
572,1.650626
573,2.566617
574,2.259965
575,1.849096
576,2.622447
577,0.278300
578,-0.184538
579,-0.890572
580,-1.843447
581,-2.381830
582,-2.610383
583,-2.677945
584,2.977936
585,3.006440
586,-0.610726
587,0.641581
588,0.394791
589,0.866281
590,0.785398
591,1.941688
592,2.475623
593,1.788420
594,2.963368
595,2.948909
596,-2.922013
597,2.652740
598,2.553590
599,2.214297
600,2.018316
601,1.594906
602,1.572661
603,-2.575111
604,1.641103
605,-0.165149
606,-1.612174
607,0.390310
608,0.223831
609,-0.147526
610,2.199593
611,1.542663
612,1.482090
613,1.461922
614,1.808853
615,0.936616
616,0.657889
617,0.908801
618,1.497835
619,0.731984
620,-2.840672
621,2.657960
622,2.627163
623,2.130153
624,2.024135
625,1.371775
626,1.132460
627,1.145675
628,1.037088
629,1.390029
630,1.492707
631,1.961375
632,2.767259
633,2.162523
634,0.620249
635,0.495854
636,0.056042
637,-0.388302
638,-0.868539
639,0.463648
640,-2.524837
641,-2.292649
642,-2.240435
643,-2.766734
644,-2.576466
645,-2.471435
646,-2.988943
647,-3.064821
648,-3.086094
649,-2.799000
650,0.692108
651,0.000000
652,0.714091
653,1.228611
654,1.260057
655,1.621019
656,0.332108
657,-0.797920
658,-1.190290
659,-1.107149
660,-2.037188
661,2.601173
662,1.511045
663,-2.316307
664,-1.650887
665,-0.218669
666,3.075024
667,-0.915101
668,-0.099669
669,-0.701592
670,-1.230760
671,-1.107149
672,-2.664247
673,2.901012
674,1.387891
675,1.498039
676,1.902856
677,1.121690
678,1.661456
679,2.536658
680,0.853785
681,0.682317
682,0.821097
683,1.097547
684,1.158155
685,3.003907
686,2.881976
687,1.681791
688,1.080150
689,1.842353
690,0.451660
691,0.242960
692,-0.279867
693,0.933891
694,0.951847
695,1.719169
696,1.570796
697,1.808171
698,2.056023
699,2.072061
700,2.333570
701,2.476693
702,2.673982
703,2.953601
704,-2.943314
705,2.133110
706,1.618379
707,1.604117
708,1.893763
709,1.734967
710,2.202086
711,2.905790
712,-3.128874
713,-2.330859
714,-2.511053
715,-1.220751
716,-0.822418
717,-0.397253
718,-0.054051
719,-0.094952
720,-2.774335
721,-3.039574
722,3.009789
723,2.884269
724,2.571241
725,1.533776
726,2.396173
727,2.794586
728,1.128612
729,0.291639
730,-3.096169
731,2.788777
732,2.698838
733,2.897570
734,3.024622
735,-2.882253
736,-2.559327
737,2.548546
738,2.679612
739,2.466852
740,2.248916
741,2.553465
742,2.750986
743,2.749602
744,-3.072866
745,-2.966214
746,3.035523
747,2.964367
748,2.771422
749,2.433456
750,2.620998
751,2.923400
752,-1.264279
753,-0.717378
754,-1.065506
755,-0.795433
756,-0.387684
757,-0.147804
758,0.201289
759,1.513820
760,1.101359
761,2.704965
762,2.838708
763,0.063743
764,-0.785398
765,-0.244979
766,0.076772
767,-0.124355
768,0.785398
769,1.951303
770,1.671297
771,-2.761086
772,2.804918
773,-3.003587
774,3.132728
775,-1.561041
776,-0.866457
777,-0.843266
778,-0.177422
779,-0.631443
780,-0.325067
781,1.149633
782,0.288171
783,-0.643501
784,-0.362264
785,-1.193354
786,2.873108
787,3.106091
788,-3.044750
789,-3.062809
790,2.911751
791,-0.137661
792,-1.037635
793,-2.781483
794,1.267001
795,1.602259
796,1.693282
797,1.483581
798,1.499489
799,1.672620
800,2.058544
801,2.074655
802,2.214399
803,2.465146
804,1.819447
805,-1.304369
806,-1.572583
807,-0.927160
808,-0.586768
809,-0.796087
810,0.241152
811,0.586088
812,0.492281
813,0.606988
814,0.415492
815,-0.108773
816,-0.528972
817,-0.196361
818,-3.009041
819,-2.593463
820,2.622352
821,-2.567240
822,-2.310319
823,1.417735
824,1.610775
825,1.953556
826,1.942505
827,2.214338
828,2.388094
829,2.356194
830,2.141233
831,0.418224
832,0.039431
833,-1.013633
834,-0.836202
835,-1.165905
836,-1.562477
837,-0.148125
838,-0.520094
839,-1.892547
840,-1.745129
841,-1.937970
842,-1.807227
843,-1.484302
844,-1.221168
845,1.852609
846,2.498092
847,2.846053
848,2.863293
849,2.818538
850,-2.272936
851,-1.446441
852,-1.808632
853,-2.608749
854,-2.750225
855,2.042629
856,2.705577
857,1.856962
858,1.804718
859,2.120650
860,2.728625
861,2.806029
862,2.745266
863,2.318266
864,2.196281
865,2.167256
866,-0.000000
867,1.497419
868,-2.367548
869,-1.844456
870,-2.896614
871,2.330067
872,2.613518
873,2.095117
874,0.715934
875,-0.418224
876,-0.291457
877,-0.331554
878,-0.212011
879,0.038679
880,0.785398
881,1.170721
882,1.058787
883,0.152649
884,0.380506
885,0.023025
886,0.436930
887,0.841942
888,1.161359
889,1.565777
890,1.897894
891,2.129093
892,2.295662
893,1.820434
894,1.287002
895,1.407346
896,2.181522
897,1.933341
898,2.429746
899,2.521719
900,2.363000
901,2.961739
902,-0.529822
903,-1.258450
904,-0.878755
905,0.949884
906,0.989872
907,1.546670
908,0.786960
909,1.010225
910,0.831262
911,0.132552
912,-0.174672
913,0.951478
914,0.785965
915,0.371753
916,1.977016
917,-3.016191
918,-2.677945
919,-2.779048
920,3.052279
921,-2.485658
922,-2.916316
923,2.957324
924,2.111216
925,-1.979805
926,1.056345
927,0.483686
928,0.521148
929,-1.325818
930,-1.032486
931,2.826599
932,2.112573
933,2.145101
934,2.120650
935,1.800439
936,1.361156
937,1.322242
938,-0.718830
939,-0.328553
940,-0.540420
941,0.301113
942,0.054878
943,1.275062
944,1.984349
945,1.494570
946,1.086692
947,1.042722
948,-0.903526
949,-0.706560
950,-1.610716
951,-1.692639
952,0.161790
953,0.892611
954,1.157316
955,1.215278
956,1.048393
957,0.654005
958,-0.000724
959,0.045465
960,-0.422854
961,-0.057032
962,0.191517
963,0.066200
964,1.218228
965,0.919720
966,-1.279340
967,-2.667428
968,-2.373031
969,-1.729998
970,-1.843477
971,-1.292497
972,-0.777951
973,-0.883991
974,-1.094087
975,-0.934288
976,-0.278300
977,2.034444
978,0.994421
979,0.938047
980,0.660033
981,0.018516
982,-0.033856
983,-0.219202
984,-0.165149
985,-1.460139
986,1.183316
987,1.640451
988,1.318928
989,2.057881
990,1.723407
991,2.906378
992,-2.337329
993,-2.670819
994,-2.510923
995,-2.425849
996,2.828136
997,0.116056
998,0.423042
999,0.650055
1000,1.619587
1001,0.785640
1002,1.535660
1003,1.604117
1004,1.221828
1005,0.713758
1006,0.735440
1007,0.121696
1008,-0.165149
1009,0.721655
1010,2.319174
1011,0.808650
1012,1.310194
1013,1.222025
1014,1.538621
1015,1.299082
1016,1.958716
1017,2.053424
1018,1.996171
1019,2.144950
1020,1.761427
1021,1.521816
1022,1.637364
1023,1.779819
1024,1.725699
1025,2.210884
1026,3.105217
1027,3.081643
1028,2.691399
1029,2.563700
1030,1.665694
1031,1.342711
1032,1.116876
1033,0.904739
1034,0.492486
1035,-0.392530
1036,0.289174
1037,0.946773
1038,0.873302
1039,0.358121
1040,0.674153
1041,-0.055097
1042,2.130781
1043,1.375494
1044,1.608858
