Time, Angle (rad)
439,0.307514
440,1.290620
441,2.836888
442,2.723368
443,2.946324
444,2.620377
445,-2.906125
446,-0.603005
447,-1.975688
448,2.604406
449,-0.938047
450,-0.515450
451,-0.479519
452,-0.554354
453,0.116740
454,0.983622
455,1.356477
456,1.296629
457,1.011378
458,2.620029
459,1.570796
460,2.139729
461,2.582080
462,2.478863
463,2.398631
464,-2.501117
465,-0.241655
466,0.207003
467,-0.034427
468,0.027771
469,0.747365
470,0.687124
471,0.580927
472,0.785398
473,1.126377
474,0.323749
475,0.999199
476,1.176005
477,0.197396
478,0.268926
479,0.129556
480,1.137377
481,1.044748
482,1.614247
483,1.745896
484,1.030377
485,0.012680
486,-0.000000
487,0.269662
488,-0.115871
489,0.230536
490,1.520334
491,1.975688
492,2.210808
493,2.048142
494,2.284182
495,2.425051
496,-2.466852
497,-0.399015
498,-0.918771
499,-0.976583
500,-0.887087
501,0.128911
502,0.713347
503,2.356194
504,2.044641
505,1.638562
506,2.227871
507,-1.101940
508,-0.250443
509,-0.299741
510,-0.496575
511,-0.384304
512,0.351377
513,-1.614247
514,-1.627877
515,-2.468394
516,-1.559433
517,-1.685795
518,1.654774
519,1.612381
520,1.627157
521,1.787866
522,1.805212
523,1.846222
524,2.119346
525,1.484930
526,1.695687
527,0.865583
528,0.000000
529,0.515595
530,-0.663876
531,-1.505931
532,-1.082462
533,-1.551751
534,-1.479314
535,-1.598944
536,-2.430079
537,-2.594804
538,-2.279796
539,-2.553590
540,-2.517218
541,-0.761013
542,-0.562813
543,-0.389317
544,-0.022785
545,1.140104
546,1.470927
547,1.948128
548,2.469615
549,3.058336
550,-2.185459
551,-2.837244
552,-2.151930
553,2.808765
554,2.442933
555,2.687291
556,2.515454
557,2.380580
558,2.669292
559,2.558853
560,2.856682
561,3.027810
562,-3.052543
563,-2.693633
564,-2.267769
565,-1.875862
566,-3.051611
567,-0.390607
568,-0.339293
569,-0.438337
570,-0.013389
571,-0.190896
572,1.914891
573,1.980581
574,2.362969
575,1.908675
576,1.951303
