Time, Angle (rad)
449,1.913820
450,2.219516
451,1.976735
452,2.558834
453,2.442249
454,1.446441
455,0.765278
456,0.632749
457,0.615278
458,0.901094
459,1.306536
460,1.281149
461,1.948939
462,2.313216
463,2.321953
464,2.567102
465,2.381368
466,2.235999
467,2.179486
468,2.250648
469,2.196418
470,2.213733
471,2.304646
472,2.113208
473,1.971846
474,1.179233
475,1.024511
476,0.758205
477,0.501604
478,0.463171
479,1.040565
480,0.893410
481,1.399003
482,1.390058
483,1.584684
484,1.406237
485,1.670046
486,1.796350
487,1.985579
488,2.231839
489,2.534486
490,2.583201
491,2.291350
492,2.349793
493,2.347064
494,2.165866
495,2.148259
496,2.245537
497,1.892547
498,1.714675
499,1.519993
500,0.828805
501,1.085569
502,1.176370
503,1.244836
504,1.235514
505,0.764125
506,0.294782
507,0.307194
508,0.448042
509,0.692109
510,1.030773
511,1.031430
512,0.758280
513,1.208252
514,1.699120
515,1.589662
516,2.034924
517,1.993705
518,1.843643
519,1.597817
520,1.699120
521,1.173746
522,1.198729
523,0.969723
524,0.926491
525,0.596199
526,2.596994
527,2.637904
528,2.474501
529,-2.874610
530,2.996780
531,2.509902
532,2.672655
533,2.769525
534,2.089181
535,1.989021
536,1.874583
537,1.262744
538,1.146902
539,1.083729
540,1.366778
541,1.158077
542,1.144376
543,1.203622
544,0.862224
545,0.129703
546,0.446106
547,0.514868
548,0.131931
549,2.723368
550,2.037964
551,1.731516
552,1.918393
553,1.913820
554,2.065684
555,2.368570
556,2.761086
557,-0.319999
558,-0.033321
559,-0.116355
560,0.178493
561,0.402321
562,0.414713
563,0.921237
564,1.213349
565,0.958737
566,0.975225
567,1.558628
568,1.785313
569,1.923139
570,2.179960
571,2.051629
572,1.504228
573,0.623599
574,-0.197640
575,0.482513
576,0.447357
577,0.771040
578,2.001302
579,2.356194
580,1.905533
581,2.338952
582,2.627141
583,2.120777
584,1.277207
585,0.789246
586,0.799482
587,1.003091
588,0.785398
589,0.584601
590,0.795058
591,0.785398
592,0.666394
593,1.286641
594,2.626356
595,1.432138
596,1.210701
597,1.493171
598,1.662886
599,1.525088
600,1.943882
601,1.850035
602,1.063144
603,1.206641
604,1.143775
605,1.049887
606,1.271921
607,1.825979
608,1.813900
