Time, Angle (rad)
433,-0.048670
434,0.224963
435,0.291457
436,0.659360
437,1.405648
438,1.597817
439,1.764636
440,3.030935
441,-3.138760
442,-1.300083
443,-0.657075
444,0.102117
445,0.992894
446,0.872321
447,1.653938
448,-0.633804
449,-1.946773
450,0.674741
451,1.219352
452,1.064244
453,1.194792
454,1.646229
455,2.014541
456,2.270786
457,2.051219
458,2.690523
459,2.847111
460,-2.970195
461,-0.872028
462,-1.758704
463,-1.265946
464,-1.059252
465,-1.544335
466,2.744619
467,1.253211
468,0.803791
469,0.393480
470,0.135528
471,-0.085654
472,-0.185348
473,-1.062675
474,-0.080558
475,0.833190
476,-0.386766
477,-0.487370
478,-0.278300
479,-2.583058
480,-2.019855
481,-0.969802
482,-1.700499
483,-1.763497
484,-1.477126
485,-1.365401
486,-1.178203
487,-0.691246
488,1.088283
489,-0.000000
490,1.781890
491,3.064821
492,-0.698870
493,-1.230844
494,-0.899322
495,-1.044026
496,-0.938911
497,-1.292591
498,-0.785398
499,-2.491722
500,-2.749253
501,2.800697
502,2.044152
503,2.123811
504,1.485291
505,1.057544
506,1.673187
507,-2.545864
508,0.021371
509,0.179853
510,0.785398
511,0.000000
512,-0.060005
513,-1.707319
514,-0.640439
515,-1.071995
516,-0.590331
517,-1.878849
518,-1.331965
519,-2.011976
520,-1.494024
521,-1.393276
522,-1.222025
523,-1.003389
524,-1.136843
525,-1.552442
526,-1.025141
527,-1.570796
528,-2.079902
529,-0.378812
530,-0.748651
531,-1.625554
532,-0.896055
533,-0.652278
534,-1.372377
535,-1.737474
536,-0.654316
537,-1.509525
538,-2.025718
539,-0.950547
540,-1.827217
541,-2.790148
542,1.085378
543,-0.643254
544,-0.874417
545,-0.246824
546,-0.975760
547,-1.019141
548,-1.780436
549,-1.570796
550,-1.603295
551,-1.485291
552,-1.735794
553,-1.124691
554,-1.570796
555,-2.314647
556,-1.665251
557,-2.381329
558,-2.306844
559,-2.386350
560,-0.546504
561,1.192828
562,0.428166
563,-1.756144
564,-1.532354
565,-1.885231
566,-1.329537
567,-1.685673
568,-2.013171
569,-1.941688
570,-1.340219
571,-1.862253
572,-2.034444
573,-0.558599
574,-1.080839
575,-1.572882
576,-0.760227
577,-0.463648
578,-0.538026
579,-1.097890
580,-0.920926
581,-1.464392
582,-1.384313
583,-1.508378
584,-1.068807
585,-0.785398
586,-1.562106
587,-1.247701
588,-0.676729
589,-0.373172
590,-0.218669
591,-0.103078
592,0.271606
593,0.086738
594,-1.145604
595,-1.638159
596,-2.127492
597,-1.653938
598,-0.369869
599,-0.452389
600,0.178163
601,-0.132184
602,-0.074734
603,-0.696362
604,-1.932929
605,3.072058
606,2.873506
607,-1.877400
608,-3.090039
609,0.558599
610,-0.528074
611,-0.173578
612,0.574305
613,0.016839
614,0.002294
615,1.616442
616,1.623606
617,1.538549
618,2.037971
619,1.976999
620,-2.949197
621,-1.552641
622,-2.176226
623,-1.627340
624,-1.739003
625,-1.476735
626,-1.674589
627,-1.312256
628,-1.093174
629,-0.865898
630,-0.980600
631,-1.325630
632,-1.626295
633,-1.548348
634,-1.626451
635,-1.681454
636,-1.838452
637,-0.558599
638,-1.440941
639,-1.323100
640,-1.222025
641,-1.519826
642,-1.526800
643,0.004064
644,0.723335
645,0.316620
646,0.499347
647,0.763967
648,-0.783524
649,-1.441573
650,-1.667933
651,-1.236799
652,-0.863257
653,-0.921025
654,-0.588003
655,-0.768025
656,-0.965623
657,-1.735945
658,-2.047693
659,-1.482140
660,-1.679642
661,-1.559845
662,-1.548401
663,-2.093722
664,-2.435880
665,-2.253113
666,-2.313775
667,-1.902315
668,-2.126290
669,-2.485392
670,-3.096169
671,-2.742070
672,2.523516
673,-0.682317
674,0.455209
675,0.098680
676,-0.117109
677,0.300747
678,0.282555
679,-0.978071
680,-0.729900
681,-1.034361
682,-1.055233
683,-0.493941
684,-0.283061
685,-0.203573
686,0.121226
687,-0.702257
688,-0.999459
689,-0.993598
690,-1.405648
691,-0.956133
692,0.553869
693,0.174803
694,-2.247628
695,-1.180546
696,1.351728
697,2.657115
698,1.927245
699,-0.090660
700,0.141786
701,0.341456
702,-0.394038
703,-0.286240
704,1.269106
705,0.588003
706,-1.794273
707,-1.946206
708,-1.345853
709,-0.899190
710,-0.520510
711,0.730996
712,1.727398
713,1.490500
714,2.187093
715,2.025180
716,2.168283
717,2.185205
718,-2.809533
719,2.495991
720,2.880758
721,3.141245
722,2.736357
723,0.703378
724,0.785398
725,-1.140144
726,-1.187299
727,-0.824730
728,-0.858585
729,-0.091859
730,1.232873
731,1.231654
732,1.179519
