Time, x Vel, y Vel, Vel
178,-0.095861,0.010911,0.010911
179,-0.078384,-0.039131,-0.039131
180,-0.002263,-0.081374,-0.081374
181,-0.021657,0.008768,0.008768
182,-0.004000,0.060000,0.060000
183,-0.066000,0.112000,0.112000
184,-0.067737,0.123374,0.123374
185,-0.047030,0.009414,0.009414
186,-0.014000,-0.008000,-0.008000
187,0.022000,-0.054000,-0.054000
188,0.015212,-0.066808,-0.066808
189,0.052010,0.023892,0.023892
190,0.044000,0.000000,0.000000
191,0.000832,-0.003287,-0.003287
192,-0.011212,0.000808,0.000808
193,-0.035848,-0.042074,-0.042074
194,-0.064792,-0.021327,-0.021327
195,-0.019862,0.022802,0.022802
196,0.000000,0.036000,0.036000
197,-0.018182,0.040404,0.040404
198,-0.002737,0.035954,0.035954
199,-0.004970,0.026485,0.026485
200,0.000000,0.022000,0.022000
201,0.034343,0.020202,0.020202
202,0.041529,-0.012627,-0.012627
203,0.050000,-0.038000,-0.038000
204,0.018000,-0.008000,-0.008000
205,-0.034243,-0.011561,-0.011561
206,-0.016000,0.034000,0.034000
207,-0.008000,0.072000,0.072000
208,0.042297,0.045842,0.045842
209,0.082728,0.019642,0.019642
210,0.066317,-0.003861,-0.003861
211,0.022000,-0.038000,-0.038000
212,0.027703,-0.053842,-0.053842
213,0.040404,-0.024242,-0.024242
214,0.005941,-0.005941,-0.005941
215,0.015717,-0.000263,-0.000263
216,-0.044465,0.042040,0.042040
217,-0.061746,0.052125,0.052125
218,-0.002257,0.045802,0.045802
219,-0.037717,0.044263,0.044263
220,-0.029535,0.017960,0.017960
221,-0.027143,0.024642,0.024642
222,-0.018000,0.050000,0.050000
223,0.027616,0.099172,0.099172
224,0.034000,0.096000,0.096000
225,0.017242,0.078328,0.078328
226,0.006396,0.050733,0.050733
227,0.030384,0.004828,0.004828
228,0.017758,0.005232,0.005232
229,0.039324,-0.019742,-0.019742
230,0.033604,0.005267,0.005267
231,0.006000,-0.010000,-0.010000
232,0.040404,-0.036364,-0.036364
233,0.040141,0.022970,0.022970
234,0.020141,-0.012808,-0.012808
235,0.021802,0.044436,0.044436
236,0.011838,0.085131,0.085131
237,0.032000,0.062000,0.062000
238,0.039859,0.070808,0.070808
239,0.048198,0.021564,0.021564
240,0.034000,0.018000,0.018000
241,-0.024000,0.024000,0.024000
242,-0.022000,0.018000,0.018000
243,-0.030376,0.049723,0.049723
244,-0.003414,0.020101,0.020101
245,0.028000,0.022000,0.022000
246,0.024000,0.016000,0.016000
247,0.039604,-0.045545,-0.045545
248,0.013414,-0.038101,-0.038101
249,0.020828,-0.064303,-0.064303
250,-0.014000,-0.030000,-0.030000
251,0.017822,-0.027723,-0.027723
252,0.032000,0.008000,0.008000
253,0.014201,0.030303,0.030303
254,0.076812,-0.021723,-0.021723
255,0.016950,0.023545,0.023545
256,-0.015111,0.015960,0.015960
257,0.006970,0.008000,0.008000
258,-0.017802,0.021662,0.021662
259,-0.020000,0.028000,0.028000
260,-0.012889,-0.027960,-0.027960
261,-0.018286,-0.028408,-0.028408
262,-0.003010,-0.021939,-0.021939
263,0.026000,-0.036000,-0.036000
264,0.064000,-0.036000,-0.036000
265,0.013296,-0.031077,-0.031077
266,-0.013686,0.016235,0.016235
267,0.020614,-0.001683,-0.001683
268,0.014455,0.034337,0.034337
269,0.078768,0.021182,0.021182
270,0.111686,0.001765,0.001765
271,0.065386,-0.016317,-0.016317
272,0.047525,-0.037624,-0.037624
273,0.040222,-0.091697,-0.091697
274,0.008000,-0.140000,-0.140000
275,-0.013901,-0.104475,-0.104475
276,-0.030263,-0.118612,-0.118612
277,-0.048303,-0.069919,-0.069919
278,-0.061426,-0.048020,-0.048020
279,-0.048099,-0.033525,-0.033525
280,-0.049717,0.025899,0.025899
281,-0.046465,0.004040,0.004040
282,-0.011261,-0.052485,-0.052485
283,0.027697,-0.064505,-0.064505
284,0.036000,-0.004000,-0.004000
285,0.006061,0.028283,0.028283
286,0.028283,0.048485,0.048485
287,0.024303,0.038505,0.038505
288,0.014000,-0.026000,-0.026000
289,0.066707,-0.050404,-0.050404
290,0.042404,-0.013980,-0.013980
291,0.020141,-0.028404,-0.028404
292,0.028000,-0.108000,-0.108000
293,0.016121,-0.119293,-0.119293
294,-0.004000,-0.144000,-0.144000
295,0.006061,-0.082828,-0.082828
296,0.022222,-0.025273,-0.025273
297,-0.010121,0.011293,0.011293
298,0.066646,-0.011717,-0.011717
299,0.050505,-0.062626,-0.062626
300,0.041144,-0.045005,-0.045005
301,0.044000,-0.048000,-0.048000
302,-0.050361,0.037023,0.037023
303,-0.056846,0.090809,0.090809
304,-0.035084,0.028843,0.028843
305,-0.048000,0.038000,0.038000
306,-0.014286,-0.003306,-0.003306
307,-0.001980,-0.045545,-0.045545
308,-0.008481,-0.028843,-0.028843
309,0.010000,-0.016000,-0.016000
310,0.034000,0.014000,0.014000
311,0.024119,-0.017406,-0.017406
312,0.004198,0.022277,0.022277
313,0.012202,0.028848,0.028848
314,0.014000,0.012000,0.012000
315,0.016000,0.012000,0.012000
316,0.005703,-0.016337,-0.016337
317,0.027323,-0.072967,-0.072967
318,0.008566,-0.023354,-0.023354
319,0.022747,-0.003495,-0.003495
320,0.004297,-0.029663,-0.029663
321,-0.027117,0.045262,0.045262
322,-0.026566,0.011354,0.011354
323,-0.064747,0.021495,0.021495
324,-0.028059,0.083129,0.083129
325,-0.014348,0.039827,0.039827
326,-0.024059,0.009149,0.009149
327,-0.029802,-0.000713,-0.000713
328,-0.039941,0.004871,0.004871
329,-0.090061,-0.028970,-0.028970
330,-0.139941,0.030851,0.030851
331,-0.120792,0.071287,0.071287
332,-0.078000,0.026000,0.026000
333,-0.036000,0.012000,0.012000
334,0.014808,-0.021051,-0.021051
335,0.044594,-0.016574,-0.016574
336,0.029172,0.029475,0.029475
337,0.032000,0.060000,0.060000
338,0.039192,0.047051,0.047051
339,0.013172,0.005313,0.005313
340,0.036828,-0.047475,-0.047475
341,0.058297,-0.060792,-0.060792
342,0.092121,-0.055131,-0.055131
343,0.090828,-0.029313,-0.029313
344,0.055901,-0.024752,-0.024752
345,0.041824,-0.063046,-0.063046
346,-0.024002,-0.076968,-0.076968
347,-0.060000,-0.078000,-0.078000
348,-0.069307,-0.095050,-0.095050
349,-0.068121,-0.026162,-0.026162
350,-0.052765,-0.024042,-0.024042
351,0.010000,-0.046000,-0.046000
352,0.037184,0.033943,0.033943
353,0.048000,0.036000,0.036000
354,0.082828,0.032323,0.032323
355,0.040020,0.045762,0.045762
356,-0.001778,0.009859,0.009859
357,-0.006000,0.016000,0.016000
358,-0.020182,0.007818,0.007818
359,0.013861,-0.019802,-0.019802
360,0.028000,-0.014000,-0.014000
361,-0.020000,-0.018000,-0.018000
362,-0.008000,0.016000,0.016000
363,-0.007881,0.046040,0.046040
364,-0.016121,0.062727,0.062727
365,0.054000,0.114000,0.114000
366,0.010000,0.078000,0.078000
367,-0.020162,0.069192,0.069192
368,-0.022222,-0.004040,-0.004040
369,-0.030000,-0.060000,-0.060000
370,-0.006000,-0.026000,-0.026000
371,0.004162,-0.019192,-0.019192
372,0.012561,0.058046,0.058046
373,0.028000,0.046000,0.046000
374,0.016000,0.046000,0.046000
375,0.020081,0.065657,0.065657
376,0.053782,0.029267,0.029267
377,0.012000,0.008000,0.008000
378,-0.008020,-0.023168,-0.023168
379,0.003800,-0.064666,-0.064666
380,-0.016158,-0.039168,-0.039168
381,0.046768,-0.022909,-0.022909
382,0.106020,-0.024832,-0.024832
383,0.087109,-0.006041,-0.006041
384,0.121532,-0.052185,-0.052185
385,0.008947,-0.025417,-0.025417
386,-0.052000,-0.016000,-0.016000
387,-0.012990,-0.020949,-0.020949
388,-0.040344,0.030403,0.030403
389,0.020286,0.016327,0.016327
390,0.056000,0.024000,0.024000
391,0.063495,0.008828,0.008828
392,0.078970,-0.005050,-0.005050
393,0.087939,0.003030,0.003030
394,0.102000,-0.066000,-0.066000
395,0.066667,-0.062626,-0.062626
396,0.000000,-0.052000,-0.052000
397,-0.011939,-0.091030,-0.091030
398,-0.016020,-0.027939,-0.027939
399,-0.004162,-0.064202,-0.064202
400,0.017939,-0.066283,-0.066283
401,0.030000,-0.038000,-0.038000
402,0.002020,-0.064061,-0.064061
403,-0.045663,0.034099,0.034099
404,-0.019682,0.038184,0.038184
405,-0.040000,0.020000,0.020000
406,-0.012000,0.064000,0.064000
407,0.049825,0.017982,0.017982
