Time, x COM, y COM, COM
187,53.841584,62.495050,82.489681
188,53.970297,62.465347,82.551272
189,53.990099,62.702970,82.744143
190,54.171717,62.666667,82.835295
191,54.240000,62.920000,83.071680
192,54.326733,62.772277,83.016581
193,54.616162,62.575758,83.058115
194,54.554455,62.475248,82.941818
195,54.570000,62.360000,82.865279
196,54.686869,62.494949,83.043798
197,54.790000,62.540000,83.145629
198,54.646465,62.535354,83.047616
199,54.647059,62.558824,83.065681
200,54.595960,62.767677,83.189543
201,54.594059,63.000000,83.363729
202,54.590000,63.290000,83.580453
203,54.595960,63.272727,83.571268
204,54.490000,63.330000,83.545491
205,54.595960,63.383838,83.655423
206,54.550000,63.650000,83.827352
207,54.480000,63.830000,83.918647
208,54.404040,63.838384,83.875735
209,54.280000,63.900000,83.842283
210,54.421569,63.764706,83.831049
211,54.415842,63.732673,83.802968
212,54.500000,63.880000,83.969664
213,54.575758,63.868687,84.010252
214,54.574257,63.910891,84.041368
215,54.510000,63.980000,84.052249
216,54.485149,64.089109,84.119233
217,54.540816,64.122449,84.180693
218,54.590000,64.050000,84.157416
219,54.707071,63.909091,84.126307
220,54.730000,63.970000,84.187492
221,54.767677,64.030303,84.257807
222,54.545455,64.303030,84.321328
223,54.616162,64.171717,84.267042
224,54.627451,64.411765,84.457290
225,54.534653,64.504950,84.468438
226,54.550000,64.600000,84.550946
227,54.643564,64.742574,84.720246
228,54.616162,65.171717,85.031040
229,54.588235,65.186275,85.024266
230,54.445545,65.277228,85.002552
231,54.730000,65.080000,85.033989
232,54.630000,65.010000,84.916059
233,54.801980,65.148515,85.132755
234,54.762376,65.059406,85.039074
235,54.752475,65.158416,85.108476
236,54.767677,65.313131,85.236750
237,54.840000,65.390000,85.342121
238,54.950000,65.310000,85.351617
239,54.808081,65.202020,85.177633
240,54.960000,65.410000,85.434593
241,54.940000,65.450000,85.452362
242,54.881188,65.504950,85.456675
243,54.757576,65.838384,85.633433
244,54.795918,65.775510,85.609640
245,54.616162,65.939394,85.620843
246,54.742574,65.980198,85.732934
247,54.610000,66.020000,85.679009
248,54.484848,66.080808,85.646202
249,54.515152,66.141414,85.712242
250,54.390000,66.280000,85.739784
251,54.292929,66.353535,85.735138
252,54.292929,66.313131,85.703871
253,54.180000,66.330000,85.645439
254,54.070707,66.585859,85.774809
255,53.950495,66.603960,85.713146
256,53.939394,66.484848,85.613628
257,54.069307,66.544554,85.741867
258,54.000000,66.515152,85.675349
259,54.029703,66.722772,85.855327
260,53.790000,66.910000,85.850522
261,53.877551,67.091837,86.047110
262,53.752475,67.306931,86.136819
263,53.722772,67.732673,86.451439
264,53.570000,67.820000,86.425096
265,53.696078,67.990196,86.636803
266,53.730000,68.050000,86.704760
267,53.787879,68.141414,86.812374
268,53.818182,68.121212,86.815300
269,53.732673,68.168317,86.799306
270,53.792079,68.277228,86.921618
271,53.772277,68.376238,86.987170
272,53.772277,68.594059,87.158492
273,53.630000,68.790000,87.225231
274,53.650000,68.860000,87.292738
275,53.666667,68.727273,87.198332
276,53.670000,68.730000,87.202533
277,53.780000,68.900000,87.404224
278,53.775510,69.051020,87.520563
279,53.680000,69.110000,87.508482
280,53.929293,69.070707,87.630652
281,53.780000,69.090000,87.554078
282,53.666667,69.323232,87.668818
283,53.590000,69.260000,87.571889
284,53.683168,69.435644,87.767825
285,53.510000,69.440000,87.665465
286,53.585859,69.464646,87.731302
287,53.610000,69.630000,87.877011
288,53.643564,69.881188,88.096609
289,53.633663,69.930693,88.129857
290,53.540000,69.890000,88.040580
291,53.480000,69.960000,88.059707
292,53.574257,70.178218,88.290335
293,53.227723,70.178218,88.080490
294,53.455446,70.386139,88.383783
295,53.484848,70.373737,88.391696
296,53.555556,70.767677,88.748305
