Time, x COM, y COM, COM
0,509.468750,509.296875,720.376092
1,509.550847,509.279661,720.421987
2,509.560000,509.420000,720.527675
3,509.760000,509.660000,720.838798
4,509.714286,509.877551,720.960311
5,509.525253,510.141414,721.013346
6,509.435644,510.148515,720.955049
7,509.464646,510.282828,721.070587
8,509.450000,510.480000,721.199787
9,509.333333,510.282828,720.977815
10,509.440000,510.390000,721.129022
11,509.430000,510.280000,721.044106
12,509.360000,510.370000,721.058352
13,509.220000,510.540000,721.079815
14,509.090909,510.555556,720.999673
15,509.019802,510.732673,721.074908
16,508.898990,510.656566,720.935718
17,508.640000,510.650000,720.748272
18,508.515152,510.565657,720.600409
19,508.640000,510.450000,720.606586
20,508.717172,510.434343,720.649970
21,508.680000,510.450000,720.634821
22,508.730000,510.460000,720.677199
23,508.670000,510.320000,720.535684
24,508.606061,510.484848,720.607317
25,508.550000,510.570000,720.628078
26,508.580000,510.640000,720.698846
27,508.780000,510.640000,720.839995
28,508.663366,510.732673,720.823337
29,508.666667,510.666667,720.778900
30,508.696970,510.686869,720.814598
31,508.484848,510.737374,720.700705
32,508.415842,510.801980,720.697808
33,508.460000,510.920000,720.812609
34,508.430000,511.030000,720.869424
35,508.740000,511.220000,721.222764
36,508.792079,511.287129,721.307083
37,508.643564,511.168317,721.118107
38,508.470000,511.120000,720.961438
39,508.534653,511.188119,721.055328
40,508.505051,511.111111,720.979857
41,508.346535,511.138614,720.887565
42,508.110000,511.100000,720.693404
43,508.100000,510.880000,720.530349
44,508.110000,510.930000,720.572853
45,508.320000,511.040000,720.798935
46,508.198020,511.168317,720.803909
47,508.180000,511.230000,720.834950
48,508.163265,511.418367,720.956761
49,508.415842,511.544554,721.224306
50,508.415842,511.514851,721.203239
51,508.470000,511.500000,721.230886
52,508.792079,511.425743,721.405344
53,508.750000,511.350000,721.321970
54,508.930000,511.210000,721.349713
55,508.868687,511.070707,721.207743
56,508.939394,510.959596,721.178907
57,508.878788,510.797980,721.021634
58,508.870000,510.740000,720.974358
59,509.040404,510.858586,721.178638
60,509.130000,511.020000,721.356221
61,508.900000,511.130000,721.271854
62,508.808081,511.030303,721.136349
63,509.191919,511.131313,721.478780
64,509.200000,511.100000,721.462300
65,509.170000,511.190000,721.504889
66,509.141414,511.474747,721.686495
67,509.140000,511.420000,721.646697
68,509.232323,511.474747,721.750633
69,509.160000,511.380000,721.632462
70,509.150000,511.330000,721.589975
71,509.282828,511.464646,721.779110
72,509.130000,511.490000,721.689252
73,509.100000,511.660000,721.788588
74,509.030303,511.646465,721.729835
75,509.120000,511.760000,721.873585
76,508.960000,511.650000,721.682759
77,509.030000,511.820000,721.852653
78,508.949495,511.636364,721.665682
79,508.900000,511.640000,721.633355
80,509.040000,511.780000,721.831345
81,508.990099,511.722772,721.755580
82,508.900000,511.610000,721.612086
83,508.929293,511.505051,721.558343
84,508.890000,511.450000,721.491604
85,508.882353,511.617647,721.605062
86,509.019802,511.613861,721.699315
87,508.939394,511.707071,721.708690
88,508.929293,511.666667,721.672920
89,509.059406,511.643564,721.748305
90,509.020000,511.640000,721.717985
91,508.949495,511.878788,721.837573
92,508.960784,511.872549,721.841109
93,509.040000,511.890000,721.909339
94,509.060000,511.710000,721.795821
95,509.120000,511.780000,721.887763
96,509.191919,511.737374,721.908270
97,509.323232,511.686869,721.965101
98,509.626263,511.696970,722.186068
99,509.600000,511.610000,722.105915
100,509.676768,511.525253,722.100056
101,509.660000,511.640000,722.169513
102,509.535354,511.696970,722.121919
103,509.550000,511.840000,722.233610
